ITEM   , LEN_P , LEN_L ,   N   ,   PN   ,  AOA  ,  AOA2  ,  IMG  ,  IMG2  
discloses,NA,9,1,NA,NA,NA,NA,NA
disclosing,9,10,0,0,NA,NA,NA,NA
disconnect,9,10,0,0,NA,NA,NA,NA
discounted,9,10,1,0,NA,NA,NA,NA
discourage,8,10,0,0,NA,NA,NA,NA
discover,8,8,0,2,NA,370,NA,447
discovers,8,9,1,2,NA,NA,NA,NA
discredit,9,9,0,0,NA,NA,NA,NA
discredits,NA,10,0,NA,NA,NA,NA,NA
discusses,8,9,1,1,NA,NA,NA,NA
discussing,8,10,0,1,NA,NA,NA,NA
disdaining,NA,10,0,NA,NA,NA,NA,NA
disembark,NA,9,0,NA,NA,NA,NA,NA
disengage,8,9,0,1,NA,NA,NA,NA
disengaged,9,10,0,1,NA,NA,NA,NA
disfigure,NA,9,0,NA,NA,NA,NA,NA
disguising,8,10,0,1,NA,NA,NA,NA
dished,4,6,4,7,NA,NA,NA,NA
disliking,8,9,0,0,NA,NA,NA,NA
dislodging,8,10,0,0,NA,NA,NA,NA
dismantle,8,9,0,1,NA,NA,NA,NA
dismantled,9,10,0,1,NA,NA,NA,NA
dismantles,NA,10,1,NA,NA,NA,NA,NA
dismember,9,9,0,0,NA,NA,NA,NA
dismisses,8,9,1,1,NA,NA,NA,NA
disobey,6,7,0,3,NA,351,NA,440
disparage,8,9,1,0,NA,NA,NA,NA
disparaged,NA,10,0,NA,NA,NA,NA,NA
dispelling,8,10,0,0,NA,NA,NA,NA
dispenses,NA,9,2,NA,NA,NA,NA,NA
displaces,NA,9,1,NA,NA,NA,NA,NA
displacing,9,10,1,0,NA,NA,NA,NA
displaying,8,10,1,0,NA,NA,NA,NA
disposes,8,8,1,2,NA,NA,NA,NA
dispossess,NA,10,0,NA,NA,NA,NA,NA
disproven,NA,9,1,NA,NA,NA,NA,NA
disquiet,8,8,0,0,617,NA,305,NA
disregards,NA,10,0,NA,NA,NA,NA,NA
disrupting,9,10,0,2,NA,NA,NA,NA
dissemble,7,9,0,1,NA,NA,NA,NA
dissented,NA,9,2,NA,NA,NA,NA,NA
dissipate,7,9,0,0,NA,NA,NA,NA
dissipates,NA,10,1,NA,NA,NA,NA,NA
dissuaded,8,9,0,0,NA,NA,NA,NA
distancing,NA,10,0,NA,NA,NA,NA,NA
distorting,8,10,0,1,NA,NA,NA,NA
distribute,10,10,0,0,NA,NA,NA,NA
distrusted,10,10,1,1,NA,NA,NA,NA
dived,4,5,7,7,NA,NA,NA,NA
diverges,NA,8,1,NA,NA,NA,NA,NA
divesting,NA,9,2,NA,NA,NA,NA,NA
divulging,8,9,0,0,NA,NA,NA,NA
docked,4,6,9,13,NA,NA,NA,NA
dodged,4,6,2,4,NA,NA,NA,NA
doff,NA,4,1,NA,NA,NA,NA,NA
doled,NA,5,6,NA,NA,NA,NA,NA
dolled,NA,6,5,NA,NA,NA,NA,NA
dominate,7,8,1,2,NA,NA,NA,NA
dominates,8,9,1,1,NA,NA,NA,NA
donating,NA,8,0,NA,NA,NA,NA,NA
donned,4,6,2,15,NA,NA,NA,NA
doped,4,5,10,10,NA,NA,NA,NA
dost,4,4,8,14,NA,NA,NA,NA
dote,NA,4,16,NA,NA,NA,NA,NA
doth,3,4,3,10,NA,NA,NA,NA
douse,3,5,4,10,NA,NA,NA,NA
downgraded,NA,10,0,NA,NA,NA,NA,NA
dowse,NA,5,1,NA,NA,NA,NA,NA
dozed,4,5,6,6,NA,NA,NA,NA
dragged,5,7,2,5,NA,NA,NA,NA
dramatize,8,9,0,1,NA,NA,NA,NA
drank,5,5,5,8,NA,214,NA,529
drawls,NA,6,2,NA,NA,NA,NA,NA
drawn,4,5,6,9,291,NA,275,NA
dreamed,5,7,3,4,NA,NA,NA,NA
dreamt,5,6,2,1,NA,NA,NA,NA
dredged,5,7,1,2,NA,NA,NA,NA
drilled,5,7,2,7,NA,NA,NA,NA
dripped,5,7,3,11,NA,NA,NA,NA
drooped,5,7,2,8,NA,NA,NA,NA
drown,4,5,5,10,313,NA,465,NA
drowns,5,6,3,8,NA,NA,NA,NA
drummed,5,7,1,4,NA,NA,NA,NA
dubbed,4,6,2,5,NA,NA,NA,NA
ducked,4,6,9,14,NA,NA,NA,NA
duped,5,5,2,3,NA,NA,NA,NA
dusts,5,5,6,6,NA,NA,NA,NA
dwell,4,5,2,6,NA,NA,NA,NA
dwelled,NA,7,2,NA,NA,NA,NA,NA
dwells,5,6,1,4,NA,NA,NA,NA
dwelt,5,5,1,4,NA,NA,NA,NA
earn,2,4,7,16,401,397,311,NA
earns,3,5,4,12,NA,NA,NA,NA
eased,3,5,3,3,NA,NA,NA,NA
eave,NA,4,9,NA,NA,NA,NA,NA
eclipsing,NA,9,0,NA,NA,NA,NA,NA
edify,NA,5,0,NA,NA,NA,NA,NA
educate,6,7,0,0,NA,423,NA,459
educates,NA,8,1,NA,NA,NA,NA,NA
effected,7,8,1,8,NA,NA,NA,NA
effecting,7,9,1,7,NA,NA,NA,NA
egged,NA,5,1,NA,NA,NA,NA,NA
ejected,7,7,2,7,NA,NA,NA,NA
ejecting,7,8,2,6,NA,NA,NA,NA
eke,NA,3,4,NA,NA,NA,NA,NA
elating,NA,7,1,NA,NA,NA,NA,NA
elbowing,NA,8,0,NA,NA,NA,NA,NA
electing,7,8,2,6,NA,NA,NA,NA
elevate,6,7,0,0,NA,NA,NA,NA
elevates,NA,8,1,NA,NA,NA,NA,NA
elicit,6,6,0,0,NA,NA,NA,NA
elicits,NA,7,0,NA,NA,NA,NA,NA
elongate,NA,8,0,NA,NA,NA,NA,NA
eluded,6,6,2,2,NA,NA,NA,NA
eluding,6,7,1,2,NA,NA,NA,NA
emailing,NA,8,0,NA,NA,NA,NA,NA
emanate,NA,7,0,NA,NA,NA,NA,NA
emanates,NA,8,1,NA,NA,NA,NA,NA
embarking,7,9,0,1,NA,NA,NA,NA
embarrass,7,9,0,0,NA,475,NA,438
embattled,7,9,0,0,NA,NA,NA,NA
embellish,NA,9,0,NA,NA,NA,NA,NA
embezzle,NA,8,0,NA,NA,NA,NA,NA
embezzles,NA,9,0,NA,NA,NA,NA,NA
embitter,NA,8,0,NA,NA,NA,NA,NA
emblazoned,8,10,0,0,NA,NA,NA,NA
embodied,7,8,1,3,NA,NA,NA,NA
embodies,7,8,1,2,NA,NA,NA,NA
embody,6,6,0,2,NA,NA,NA,NA
emerges,6,7,1,1,NA,NA,NA,NA
emigrate,7,8,0,2,NA,NA,NA,NA
emitted,6,7,1,3,NA,NA,NA,NA
emitting,6,8,1,2,NA,NA,NA,NA
empathize,NA,9,0,NA,NA,NA,NA,NA
emphasize,7,9,0,2,NA,NA,NA,NA
emphasized,8,10,1,1,NA,NA,NA,NA
empower,NA,7,0,NA,NA,NA,NA,NA
empowers,NA,8,0,NA,NA,NA,NA,NA
emulate,7,7,0,0,NA,NA,NA,NA
enable,5,6,1,2,NA,NA,NA,NA
enabled,6,7,1,3,NA,NA,NA,NA
enables,6,7,1,2,NA,NA,NA,NA
enacted,7,7,1,1,NA,NA,NA,NA
enacting,7,8,1,1,NA,NA,NA,NA
encircle,6,8,0,1,NA,NA,NA,NA
encircled,7,9,0,1,NA,NA,NA,NA
encompass,8,9,0,0,NA,NA,NA,NA
encourage,7,9,1,1,NA,429,NA,417
encouraged,8,10,1,1,NA,NA,NA,NA
encroaches,NA,10,1,NA,NA,NA,NA,NA
encrusted,9,9,1,1,NA,NA,NA,NA
encumbered,8,10,0,0,NA,NA,NA,NA
endanger,8,8,0,2,NA,NA,NA,NA
endangers,8,9,0,2,NA,NA,NA,NA
endeavored,NA,10,0,NA,NA,NA,NA,NA
endorses,7,8,1,1,NA,NA,NA,NA
endowing,NA,8,0,NA,NA,NA,NA,NA
energize,NA,8,0,NA,NA,NA,NA,NA
enfeebled,7,9,0,0,NA,NA,NA,NA
enforces,NA,8,1,NA,NA,NA,NA,NA
engages,7,7,1,1,NA,NA,NA,NA
engendered,8,10,0,2,NA,NA,NA,NA
engenders,8,9,0,2,NA,NA,NA,NA
engrossing,8,10,0,0,NA,NA,NA,NA
engulfing,8,9,0,0,NA,NA,NA,NA
enhances,8,8,1,1,NA,NA,NA,NA
enjoining,NA,9,0,NA,NA,NA,NA,NA
enlarges,7,8,1,1,NA,NA,NA,NA
enlighten,6,9,0,1,NA,NA,NA,NA
enlightens,NA,10,0,NA,NA,NA,NA,NA
enlisted,8,8,1,3,NA,NA,NA,NA
enlisting,8,9,0,2,NA,NA,NA,NA
enliven,6,7,0,2,NA,NA,NA,NA
enlivens,NA,8,0,NA,NA,NA,NA,NA
ennoble,NA,7,0,NA,NA,NA,NA,NA
ennobles,NA,8,1,NA,NA,NA,NA,NA
enquire,NA,7,1,NA,NA,NA,NA,NA
enrages,NA,7,2,NA,NA,NA,NA,NA
enraging,NA,8,1,NA,NA,NA,NA,NA
enrapture,NA,9,0,NA,NA,NA,NA,NA
enriches,7,8,1,1,NA,NA,NA,NA
enshrouded,NA,10,0,NA,NA,NA,NA,NA
ensuring,7,8,2,0,NA,NA,NA,NA
entailing,7,9,0,1,NA,NA,NA,NA
entertain,7,9,0,0,NA,393,435,NA
entertains,NA,10,0,NA,NA,NA,NA,NA
entitle,6,7,0,2,NA,NA,NA,NA
entitled,7,8,1,2,NA,NA,NA,NA
entitles,7,8,2,2,NA,NA,NA,NA
entrusting,9,10,0,1,NA,NA,NA,NA
envelop,7,7,0,1,NA,NA,NA,NA
enveloped,8,9,1,1,NA,NA,NA,NA
envelops,NA,8,1,NA,NA,NA,NA,NA
envisage,7,8,0,1,NA,NA,NA,NA
envisaged,8,9,1,1,NA,NA,NA,NA
envision,6,8,0,3,NA,NA,NA,NA
envisioned,7,10,0,1,NA,NA,NA,NA
envisions,NA,9,0,NA,NA,NA,NA,NA
equalize,7,8,0,1,NA,NA,NA,NA
equalized,8,9,0,1,NA,NA,NA,NA
equated,7,7,1,1,NA,NA,NA,NA
equating,7,8,0,1,NA,NA,NA,NA
equipping,7,9,0,0,NA,NA,NA,NA
erases,NA,6,1,NA,NA,NA,NA,NA
erected,7,7,2,5,NA,NA,NA,NA
erecting,7,8,2,5,NA,NA,NA,NA
err,2,3,3,18,NA,NA,NA,NA
erred,2,5,0,24,NA,NA,NA,NA
errs,NA,4,2,NA,NA,NA,NA,NA
erupted,7,7,0,1,NA,NA,NA,NA
escalate,7,8,0,0,NA,NA,NA,NA
escalates,NA,9,1,NA,NA,NA,NA,NA
eschewing,6,9,0,0,NA,NA,NA,NA
escorting,7,9,0,1,NA,NA,NA,NA
espouses,NA,8,1,NA,NA,NA,NA,NA
espousing,7,9,0,0,NA,NA,NA,NA
establish,8,9,0,0,NA,NA,NA,NA
etched,3,6,1,4,NA,NA,NA,NA
eulogize,NA,8,0,NA,NA,NA,NA,NA
eulogized,NA,9,0,NA,NA,NA,NA,NA
euthanize,NA,9,0,NA,NA,NA,NA,NA
evaded,6,6,1,2,NA,NA,NA,NA
evading,6,7,0,2,NA,NA,NA,NA
evicting,NA,8,0,NA,NA,NA,NA,NA
evidenced,8,9,1,2,NA,NA,NA,NA
evoking,6,7,0,1,NA,NA,NA,NA
exacted,8,7,2,1,NA,NA,NA,NA
examine,7,7,0,2,NA,NA,341,NA
examines,8,8,2,2,NA,NA,NA,NA
excavate,8,8,0,0,NA,NA,NA,NA
exceeding,7,9,0,1,NA,NA,NA,NA
excelling,NA,9,1,NA,NA,NA,NA,NA
excepted,8,8,0,2,NA,NA,NA,NA
exculpate,NA,9,0,NA,NA,NA,NA,NA
execute,8,7,0,0,NA,NA,NA,NA
executes,NA,8,1,NA,NA,NA,NA,NA
exempted,9,8,0,0,NA,NA,NA,NA
exercised,8,9,1,2,NA,NA,NA,NA
exerted,7,7,0,2,NA,NA,NA,NA
exhorting,7,9,1,3,NA,NA,NA,NA
expecting,9,9,0,2,NA,NA,NA,NA
expedite,8,8,0,0,NA,NA,NA,NA
expelling,8,9,0,0,NA,NA,NA,NA
expending,9,9,2,4,NA,NA,NA,NA
expiate,NA,7,0,NA,NA,NA,NA,NA
expires,7,7,2,3,NA,NA,NA,NA
expiring,9,8,0,2,NA,NA,NA,NA
exploiting,9,10,0,1,NA,NA,NA,NA
exported,8,8,2,1,NA,NA,NA,NA
exposes,8,7,1,1,NA,NA,NA,NA
exposing,8,8,0,0,NA,NA,NA,NA
expounded,9,9,0,3,NA,NA,NA,NA
expounding,9,10,0,3,NA,NA,NA,NA
expresses,9,9,1,2,NA,NA,NA,NA
expressing,9,10,0,2,NA,NA,NA,NA
extending,9,9,1,2,NA,NA,NA,NA
extinguish,10,10,0,0,NA,NA,NA,NA
extorting,NA,9,2,NA,NA,NA,NA,NA
extracting,10,10,0,1,NA,NA,NA,NA
extradite,9,9,0,0,NA,NA,NA,NA
extricate,9,9,0,0,NA,NA,NA,NA
exuded,8,6,2,1,NA,NA,NA,NA
exuding,8,7,1,1,NA,NA,NA,NA
exulting,8,8,0,1,NA,NA,NA,NA
fabricate,NA,9,0,NA,NA,NA,NA,NA
fades,4,5,5,12,NA,NA,NA,NA
fails,4,5,11,27,NA,NA,NA,NA
falsify,7,7,1,1,NA,NA,NA,NA
fanned,4,6,4,19,NA,NA,NA,NA
fantasized,NA,10,0,NA,NA,NA,NA,NA
fared,3,5,11,19,NA,NA,NA,NA
fascinate,7,9,0,1,NA,NA,NA,NA
fascinates,8,10,1,1,NA,NA,NA,NA
fashioning,NA,10,0,NA,NA,NA,NA,NA
fastening,6,9,2,1,NA,NA,NA,NA
fazed,NA,5,10,NA,NA,NA,NA,NA
feathering,NA,10,1,NA,NA,NA,NA,NA
featuring,7,9,0,0,NA,NA,NA,NA
feign,3,5,2,32,NA,NA,NA,NA
fenced,5,6,1,3,NA,NA,NA,NA
fend,4,4,11,21,NA,NA,NA,NA
fends,NA,5,8,NA,NA,NA,NA,NA
ferreting,7,9,0,1,NA,NA,NA,NA
fertilize,NA,9,0,NA,NA,NA,NA,NA
fessed,NA,6,2,NA,NA,NA,NA,NA
fetched,4,7,1,3,NA,NA,NA,NA
filched,5,7,0,0,NA,NA,NA,NA
filleted,7,8,1,2,NA,NA,NA,NA
fills,4,5,13,28,NA,NA,NA,NA
finalize,7,8,0,0,NA,NA,NA,NA
finalized,NA,9,0,NA,NA,NA,NA,NA
fined,4,5,9,22,NA,NA,NA,NA
firmed,4,6,4,10,NA,NA,NA,NA
fished,4,6,4,4,NA,NA,NA,NA
fixated,8,7,0,0,NA,NA,NA,NA
flagellate,NA,10,0,NA,NA,NA,NA,NA
flam,NA,4,10,NA,NA,NA,NA,NA
flanked,6,7,1,3,NA,NA,NA,NA
flapped,5,7,5,9,NA,NA,NA,NA
flashed,5,7,4,7,NA,NA,NA,NA
flaunts,NA,7,0,NA,NA,NA,NA,NA
flay,NA,4,11,NA,NA,NA,NA,NA
fled,4,4,8,14,NA,NA,NA,NA
flee,3,4,8,12,473,NA,451,NA
flees,4,5,4,12,NA,NA,NA,NA
fleshed,NA,7,2,NA,NA,NA,NA,NA
flew,3,4,8,12,NA,321,NA,486
flexed,6,6,0,3,NA,NA,NA,NA
flinched,6,8,1,4,NA,NA,NA,NA
flipped,5,7,4,9,NA,NA,NA,NA
flocked,5,7,4,9,NA,NA,NA,NA
flog,4,4,7,10,NA,NA,NA,NA
flopped,5,7,4,8,NA,NA,NA,NA
flounce,5,7,0,1,NA,572,NA,356
flout,4,5,3,8,NA,NA,NA,NA
flouts,NA,6,2,NA,NA,NA,NA,NA
flowed,4,6,4,14,NA,NA,NA,NA
flown,4,5,4,11,346,NA,343,NA
fluctuate,8,9,0,1,NA,NA,NA,NA
fluctuates,9,10,1,1,NA,NA,NA,NA
fluffed,5,7,1,3,NA,NA,NA,NA
fluffs,NA,6,2,NA,NA,NA,NA,NA
flunks,NA,6,1,NA,NA,NA,NA,NA
flustering,NA,10,3,NA,NA,NA,NA,NA
focuses,7,7,0,1,NA,NA,NA,NA
fomenting,NA,9,0,NA,NA,NA,NA,NA
fooled,4,6,6,15,NA,NA,NA,NA
footnoted,NA,9,1,NA,NA,NA,NA,NA
forecloses,NA,10,0,NA,NA,NA,NA,NA
foreseeing,6,10,0,0,NA,NA,NA,NA
foreshadow,NA,10,0,NA,NA,NA,NA,NA
forfeited,7,9,0,1,NA,NA,NA,NA
forfeiting,7,10,0,1,NA,NA,NA,NA
forgetting,7,10,0,0,NA,NA,NA,NA
forgiven,6,8,0,0,NA,NA,NA,NA
forgoing,NA,8,0,NA,NA,NA,NA,NA
formalize,NA,9,0,NA,NA,NA,NA,NA
formed,4,6,8,9,NA,NA,NA,NA
formulate,8,9,0,0,NA,600,NA,265
formulates,NA,10,1,NA,NA,NA,NA,NA
forsaking,NA,9,0,NA,NA,NA,NA,NA
fortify,6,7,0,1,NA,NA,NA,NA
forwarded,7,9,0,1,NA,NA,NA,NA
fought,3,6,3,27,366,NA,395,NA
frap,NA,4,5,NA,NA,NA,NA,NA
fraternize,NA,10,0,NA,NA,NA,NA,NA
freaked,5,7,2,6,NA,NA,NA,NA
frees,4,5,5,11,NA,NA,NA,NA
frequented,10,10,0,0,NA,NA,NA,NA
frets,NA,5,1,NA,NA,NA,NA,NA
frolicking,NA,10,0,NA,NA,NA,NA,NA
frowned,5,7,3,10,NA,NA,NA,NA
froze,4,5,0,11,349,NA,475,NA
fulminate,NA,9,1,NA,NA,NA,NA,NA
fumed,5,5,3,4,NA,NA,NA,NA
funneling,NA,9,0,NA,NA,NA,NA,NA
furnishes,NA,9,1,NA,NA,NA,NA,NA
furthering,7,10,0,0,NA,NA,NA,NA
fused,5,5,3,5,NA,NA,NA,NA
fussed,4,6,4,14,NA,NA,NA,NA
gained,4,6,2,12,NA,NA,NA,NA
galvanize,NA,9,0,NA,NA,NA,NA,NA
gape,3,4,11,16,NA,480,NA,385
garrisoned,NA,10,0,NA,NA,NA,NA,NA
gasped,5,6,3,4,NA,NA,NA,NA
gauged,4,6,3,10,NA,NA,NA,NA
gawk,NA,4,1,NA,NA,NA,NA,NA
gazed,4,5,5,10,NA,NA,NA,NA
geared,3,6,5,21,NA,NA,NA,NA
generate,7,8,1,2,NA,NA,NA,NA
generates,8,9,1,1,NA,NA,NA,NA
gentrify,NA,8,0,NA,NA,NA,NA,NA
germinate,7,9,1,1,NA,NA,NA,NA
gess,NA,4,6,NA,NA,NA,NA,NA
ginned,NA,6,4,NA,NA,NA,NA,NA
gird,3,4,3,18,NA,NA,NA,NA
glamorize,NA,9,0,NA,NA,NA,NA,NA
glared,4,6,5,10,NA,NA,NA,NA
glassed,NA,7,3,NA,NA,NA,NA,NA
gleamed,5,7,1,3,NA,NA,NA,NA
gleams,5,6,0,2,NA,NA,NA,NA
glean,4,5,2,4,NA,NA,NA,NA
gleaned,5,7,3,5,NA,NA,NA,NA
glorifies,NA,9,1,NA,NA,NA,NA,NA
glorify,7,7,0,1,NA,NA,NA,NA
glossed,5,7,0,2,NA,NA,NA,NA
glowed,4,6,4,14,NA,NA,NA,NA
glowering,7,9,1,1,NA,NA,NA,NA
gluts,NA,5,1,NA,NA,NA,NA,NA
gnash,NA,5,0,NA,NA,NA,NA,NA
gnawed,3,6,0,21,NA,NA,NA,NA
goad,3,4,8,27,NA,NA,NA,NA
goll,NA,4,13,NA,NA,NA,NA,NA
goofed,4,6,1,2,NA,NA,NA,NA
gouged,4,6,3,3,NA,NA,NA,NA
gove,NA,4,11,NA,NA,NA,NA,NA
grabbed,5,7,2,5,NA,NA,NA,NA
graced,5,6,6,7,NA,NA,NA,NA
grained,NA,7,2,NA,NA,NA,NA,NA
grasped,6,7,0,4,NA,NA,NA,NA
grassed,NA,7,2,NA,NA,NA,NA,NA
gratifies,NA,9,1,NA,NA,NA,NA,NA
gratify,7,7,0,2,NA,NA,NA,NA
grazed,5,6,6,11,NA,NA,NA,NA
greet,4,5,3,7,NA,413,NA,494
greets,5,6,2,4,NA,NA,NA,NA
grieve,4,6,0,7,NA,489,NA,NA
grieves,5,7,1,7,NA,NA,NA,NA
grimacing,8,9,0,1,NA,NA,NA,NA
grinned,5,7,0,8,NA,NA,NA,NA
griped,NA,6,2,NA,NA,NA,NA,NA
gripped,5,7,2,10,NA,NA,NA,NA
groaned,5,7,0,8,NA,NA,NA,NA
groomed,5,7,1,4,NA,NA,NA,NA
groped,5,6,1,5,NA,NA,NA,NA
grouped,5,7,0,6,NA,NA,NA,NA
growled,5,7,1,5,NA,NA,NA,NA
grun,NA,4,3,NA,NA,NA,NA,NA
guessed,4,7,1,18,NA,NA,NA,NA
gulped,5,6,1,3,NA,NA,NA,NA
gunned,NA,6,1,NA,NA,NA,NA,NA
gushed,4,6,4,6,NA,NA,NA,NA
guss,NA,4,9,NA,NA,NA,NA,NA
gutt,NA,4,4,NA,NA,NA,NA,NA
hacked,4,6,7,17,NA,NA,NA,NA
hailed,4,6,10,20,NA,NA,NA,NA
halts,5,5,2,5,NA,NA,NA,NA
halve,3,5,2,15,NA,NA,NA,NA
halved,4,6,2,7,NA,NA,NA,NA
hangs,4,5,6,8,NA,NA,NA,NA
haranguing,7,10,0,0,NA,NA,NA,NA
harasses,NA,8,1,NA,NA,NA,NA,NA
harassing,7,9,0,0,NA,NA,NA,NA
hardwired,NA,9,0,NA,NA,NA,NA,NA
harmed,4,6,2,11,NA,NA,NA,NA
harmonize,7,9,0,1,NA,NA,NA,NA
harped,NA,6,3,NA,NA,NA,NA,NA
hashed,4,6,8,11,NA,NA,NA,NA
hassling,NA,8,0,NA,NA,NA,NA,NA
hast,4,4,12,8,NA,NA,NA,NA
hastening,6,9,1,1,NA,NA,NA,NA
hath,3,4,8,14,628,NA,144,NA
hauled,4,6,2,18,NA,NA,NA,NA
hawked,4,6,2,13,NA,NA,NA,NA
healed,4,6,7,18,NA,NA,NA,NA
heaped,4,6,7,6,NA,NA,NA,NA
hears,3,5,18,24,NA,NA,NA,NA
heaved,4,6,7,7,NA,NA,NA,NA
hedged,4,6,2,6,NA,NA,NA,NA
heralded,8,8,0,1,NA,NA,NA,NA
heralding,8,9,0,1,NA,NA,NA,NA
herniate,NA,8,0,NA,NA,NA,NA,NA
herniates,NA,9,0,NA,NA,NA,NA,NA
hert,NA,4,9,NA,NA,NA,NA,NA
hesitate,7,8,0,1,NA,441,354,NA
hesitates,8,9,1,1,NA,NA,NA,NA
hew,3,3,14,14,NA,NA,NA,NA
hid,3,3,12,20,NA,293,NA,561
hiked,4,5,4,7,NA,NA,NA,NA
hindering,8,9,0,0,NA,NA,NA,NA
hissed,4,6,4,16,NA,NA,NA,NA
holed,4,5,5,23,NA,NA,NA,NA
homed,4,5,7,11,NA,NA,NA,NA
homemaking,NA,10,0,NA,NA,NA,NA,NA
honed,4,5,6,11,NA,585,NA,273
hones,NA,5,10,NA,NA,NA,NA,NA
hoped,4,5,9,11,NA,NA,NA,NA
hopped,4,6,6,12,NA,NA,NA,NA
horrify,6,7,0,1,NA,NA,NA,NA
horsed,NA,6,3,NA,NA,NA,NA,NA
housed,4,6,3,5,NA,NA,NA,NA
hout,NA,4,9,NA,NA,NA,NA,NA
huddling,6,8,3,3,NA,NA,NA,NA
huffed,4,6,3,9,NA,NA,NA,NA
hugged,4,6,5,8,NA,NA,NA,NA
humanize,8,8,0,0,NA,NA,NA,NA
humped,5,6,6,8,NA,NA,NA,NA
hunched,5,7,5,6,NA,NA,NA,NA
hungering,NA,9,0,NA,NA,NA,NA,NA
hunkering,NA,9,1,NA,NA,NA,NA,NA
hurdling,6,8,3,3,NA,NA,NA,NA
hurled,4,6,2,13,NA,NA,441,NA
hydrofoil,NA,9,0,NA,NA,NA,NA,NA
hypnotize,NA,9,0,NA,NA,NA,NA,NA
idolize,NA,7,0,NA,NA,NA,NA,NA
idolized,7,8,0,0,NA,NA,NA,NA
igniting,NA,8,0,NA,NA,NA,NA,NA
ignoring,7,8,0,0,NA,NA,NA,NA
illustrate,8,10,0,0,NA,NA,NA,NA
imagine,6,7,1,2,NA,374,NA,413
imagines,7,8,1,2,NA,NA,NA,NA
imitate,6,7,0,2,NA,NA,436,NA
imitates,7,8,1,2,NA,NA,NA,NA
immigrate,NA,9,0,NA,NA,NA,NA,NA
immolate,NA,8,0,NA,NA,NA,NA,NA
immunize,NA,8,0,NA,NA,NA,NA,NA
impacting,NA,9,1,NA,NA,NA,NA,NA
impairing,7,9,0,0,NA,NA,NA,NA
impaling,NA,8,0,NA,NA,NA,NA,NA
impanel,NA,7,0,NA,NA,NA,NA,NA
impaneled,NA,9,0,NA,NA,NA,NA,NA
imparted,7,8,2,2,NA,NA,NA,NA
imparting,7,9,1,2,NA,NA,NA,NA
impeaching,NA,10,0,NA,NA,NA,NA,NA
impeding,7,8,0,1,NA,NA,NA,NA
imperil,7,7,0,1,NA,NA,NA,NA
imperils,NA,8,0,NA,NA,NA,NA,NA
impinges,NA,8,0,NA,NA,NA,NA,NA
impinging,NA,9,0,NA,NA,NA,NA,NA
implanting,NA,10,0,NA,NA,NA,NA,NA
imploded,NA,8,1,NA,NA,NA,NA,NA
imploding,NA,9,1,NA,NA,NA,NA,NA
imploring,8,9,0,0,NA,NA,NA,NA
implying,7,8,0,1,NA,NA,NA,NA
imposes,7,7,1,1,NA,NA,NA,NA
impounding,NA,10,0,NA,NA,NA,NA,NA
impoverish,9,10,0,0,NA,NA,NA,NA
impregnate,9,10,0,0,NA,NA,NA,NA
impresses,8,9,1,2,NA,NA,NA,NA
imprison,7,8,0,1,NA,NA,NA,NA
imprisons,NA,9,0,NA,NA,NA,NA,NA
impugning,NA,9,0,NA,NA,NA,NA,NA
imputed,NA,7,0,NA,NA,NA,NA,NA
inched,4,6,2,3,NA,NA,NA,NA
incited,7,7,2,5,NA,NA,NA,NA
inciting,7,8,1,4,NA,NA,NA,NA
incubate,NA,8,0,NA,NA,NA,NA,NA
incurring,7,9,0,1,NA,NA,NA,NA
indicate,7,8,0,1,NA,NA,NA,NA
indicates,8,9,1,1,NA,NA,NA,NA
indicting,NA,9,0,NA,NA,NA,NA,NA
induces,8,7,2,1,NA,NA,NA,NA
inducing,8,8,0,1,NA,NA,NA,NA
inducted,NA,8,1,NA,NA,NA,NA,NA
indulges,8,8,1,1,NA,NA,NA,NA
infecting,8,9,1,3,NA,NA,NA,NA
inferring,7,9,0,1,NA,NA,NA,NA
infiltrate,9,10,0,0,NA,NA,NA,NA
inflaming,NA,9,1,NA,NA,NA,NA,NA
inflicting,NA,10,0,NA,NA,NA,NA,NA
influenced,8,10,1,1,NA,NA,NA,NA
infringes,NA,9,0,NA,NA,NA,NA,NA
infringing,9,10,0,0,NA,NA,NA,NA
infusing,NA,8,0,NA,NA,NA,NA,NA
inhabit,7,7,1,2,NA,NA,NA,NA
inhabits,8,8,1,2,NA,NA,NA,NA
inherit,7,7,0,1,NA,NA,NA,NA
inherits,8,8,0,1,NA,NA,NA,NA
inhibits,8,8,1,2,NA,NA,NA,NA
injecting,8,9,1,3,NA,NA,NA,NA
injuring,7,8,1,2,NA,NA,NA,NA
innovate,6,8,0,0,NA,NA,NA,NA
innovates,NA,9,0,NA,NA,NA,NA,NA
inquired,7,8,1,2,NA,NA,NA,NA
inquires,7,8,1,2,NA,NA,NA,NA
inscribing,NA,10,0,NA,NA,NA,NA,NA
inserted,7,8,1,3,NA,NA,NA,NA
inserting,7,9,1,3,NA,NA,NA,NA
insisted,8,8,0,2,NA,NA,NA,NA
insisting,8,9,0,2,NA,NA,NA,NA
inspected,9,9,0,2,NA,NA,NA,NA
installing,8,10,0,0,NA,NA,NA,NA
instigate,8,9,0,0,NA,608,NA,270
instilling,NA,10,1,NA,NA,NA,NA,NA
instructed,10,10,0,0,NA,NA,NA,NA
insuring,7,8,2,0,NA,NA,NA,NA
integrate,8,9,0,0,NA,NA,NA,NA
